专利号,专利名称,专利类型,申请日,公开日,授权日,专利代理机构,专利法律状态,申请人类型,主申请人名称,主申请人地址,主申请人地址国家,累计被引用量,主分类号,专利分类号,专利分类号数量,国民经济行业分类代码,国民经济行业分类名称,大类,子类别
CN105149849B,用于多车型无源台车的三向无极支撑机构,发明授权,2015-10-14,2015-12-16,2017-04-12,北京市科名专利代理事务所(特殊普通合伙),授权,企业,武汉瑞松北斗汽车装备有限公司,430056 湖北省武汉市武汉经济技术开发区经开万达广场二期地6幢7-701,CHN,,B23K37/04(2006.01),B23K37/04(2006.01),1.0,3424.0,金属切割及焊接设备制造,整车组装,车厢生产
CN107030135B,一种高强度厚壁小断面双尖角方管成型方法,发明授权,2017-06-16,2017-08-11,2019-04-23,武汉国越知识产权代理事务所(特殊普通合伙),授权,企业,武汉钢铁江北集团冷弯型钢有限公司,430415 湖北省武汉市阳逻经济开发区滨江大道特1号,CHN,1.0,B21C37/08(2006.01),B21C37/08(2006.01);B21D5/00(2006.01),2.0,3311.0,金属结构制造,研发与设计,制造工艺研发与设计
CN105689889B,一种用于激光微加工的组合透镜,发明授权,2016-03-31,2016-06-22,2017-11-28,北京汇泽知识产权代理有限公司,授权,企业,武汉华工激光工程有限责任公司,430223 湖北省武汉市东湖开发区华中科技大学科技园激光产业园,CHN,,G02B13/00(2006.01),G02B13/00(2006.01);B23K26/064(2014.01),2.0,4041.0,光学仪器制造,研发与设计,专用技术研发与设计
CN103225254B,一种共振破碎机用平行连杆转向机构,发明授权,2013-04-28,2013-07-31,2015-03-25,北京天奇智新知识产权代理有限公司,专利申请权、专利权的转移,企业,中铁科工集团有限公司,430066 湖北省武汉市洪山区徐东大街45号,CHN,,B62D7/16(2006.01)I,B62D7/16(2006.01)I;E01C23/12(2006.01)I,2.0,3660.0,汽车零部件及配件制造,研发与设计整车组装,专用技术研发与设计转向系统生产
CN110076598B,外星轮加工工装,发明授权,2019-05-31,2019-08-02,2020-08-25,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉市恒通诚汽车零部件有限公司,430000 湖北省武汉市武汉蔡甸经济开发区龙王工业园全力五路C4厂区,CHN,.,B23Q3/06(2006.01),B23Q3/06(2006.01),1.0,3425.0,机床附件制造,整车组装车身制造,模具生产车轮生产
CN109768359B,一种混合腔及混合模组成的改善谐波的滤波器,发明授权,2019-02-20,2019-05-17,2020-10-02,武汉开元知识产权代理有限公司,发明专利权授予,企业,武汉凡谷电子技术股份有限公司,430020 湖北省武汉市江夏区光谷大道藏龙岛九凤街5号凡谷电子工业园4号楼2楼,CHN,.,H01P1/212(2006.01),H01P1/212(2006.01),1.0,3963,集成电路制造,电气设备生产,其他用电装置生产
CN108942112B,一种定位夹爪的加工方法,发明授权,2018-08-24,2018-12-07,2020-08-11,北京品源专利代理有限公司,发明专利权授予,企业,武汉联航机电有限公司,200433 上海市杨浦区淞沪路303号创智天地三期11号楼502室,CHN,.,B23P15/00(2006.01),B23P15/00(2006.01),1.0,3421,金属切削机床制造,研发与设计,制造工艺研发与设计
CN104960403B,一种汽车天窗起翘机构,发明授权,2015-06-16,2015-10-07,2017-04-12,武汉开元知识产权代理有限公司,授权,企业,武汉凯沃森天窗系统有限公司,430056 湖北省武汉市武汉经济技术开发区珠山湖大道全力南路凯沃森工业园,CHN,,B60J7/05(2006.01),B60J7/05(2006.01),1.0,3660.0,汽车零部件及配件制造,车身制造,车窗生产
CN103867285B,缓速器冷却系统,发明授权,2014-03-06,2014-06-18,2016-06-29,武汉开元知识产权代理有限公司,授权,企业,东风富士汤姆森调温器有限公司,430056 湖北省武汉市经济技术开发区枫树二路51号,CHN,,F01P11/00(2006.01),F01P11/00(2006.01),1.0,3412.0,内燃机及配件制造,辅助系统生产,冷却系统生产
CN104088935B,带有轴承限位结构的气压盘式制动器压力臂,发明授权,2014-07-25,2014-10-08,2017-02-15,北京汇泽知识产权代理有限公司,授权,企业,武汉元丰汽车零部件有限公司,430050 湖北省武汉市东湖新技术开发区光谷大道299号,CHN,,F16D65/095(2006.01),F16D65/095(2006.01),1.0,3459.0,其他传动部件制造,辅助系统生产,制动系统生产
CN109396584B,一种智能焊接方法、系统、装置及存储介质,发明授权,2018-11-20,2019-03-01,2020-10-20,武汉谦源知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉欣远拓尔科技有限公司,430000 湖北省武汉市江岸区汉黄路888号岱家山科技创业城C-01厂房,CHN,.,B23K1/00(2006.01),B23K1/00(2006.01);B23K3/00(2006.01);B23K3/08(2006.01);B25J11/00(2006.01);B25J9/16(2006.01),5.0,3424,金属切割及焊接设备制造,研发与设计整车组装,制造工艺研发与设计智能装置生产
CN107088618B,一种斜楔式预延伸拉延模,发明授权,2017-06-28,2017-08-25,2019-03-26,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,B21D37/10(2006.01),B21D37/10(2006.01);B21D22/22(2006.01);B21D53/88(2006.01),3.0,3311,金属结构制造,车身制造,模具生产
CN106320883B,用于汽车尾门的电动开闭系统,发明授权,2016-08-29,2017-01-11,2017-10-03,北京远大卓悦知识产权代理事务所(普通合伙),专利申请权、专利权的转移,企业,武汉佳特轿车零部件有限公司,430012 湖北省武汉市江岸区岱山街汉黄路16号,CHN,,E05F15/622(2015.01),E05F15/622(2015.01);E05F15/70(2015.01);E05F15/40(2015.01),3.0,3351.0,建筑、家具用金属配件制造,辅助系统生产,智能装置生产
CN109578108B,一种用于曲轴箱通气管的诊断加热装置、通气管、通风系统和汽车,发明授权,2018-12-26,2019-04-05,2020-04-03,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F01M13/00(2006.01),F01M13/00(2006.01);F02B77/08(2006.01);F02M35/10(2006.01);F02M31/13(2006.01),4.0,3412.0,内燃机及配件制造,发动机制造辅助系统生产,曲柄连杆机构生产汽车安保系统生产
CN106483442B,组合传动发电机整流二极管的检测设备及检测方法,发明授权,2016-11-11,2017-03-08,2019-05-14,武汉国越知识产权代理事务所(特殊普通合伙),授权,企业,凌云科技集团有限责任公司,430000 湖北省武汉市江汉区建设大道417号,CHN,,G01R31/26(2014.01),G01R31/26(2014.01);G01R31/34(2006.01),2.0,4090.0,其他仪器仪表制造业,研发与设计电气设备生产,制造工艺研发与设计发电机生产汽车测试
CN109774822B,一种用于车身侧围输送的定位传导装置及其使用方法,发明授权,2018-12-20,2019-05-21,2020-08-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B62D65/18(2006.01),B62D65/18(2006.01),1.0,3571,拖拉机制造,车身制造,车身壳体生产
CN110941691B,一种顺风车搭乘撮合方法及装置,发明授权,2020-02-19,2020-03-31,2020-06-02,北京众达德权知识产权代理有限公司,发明专利权授予,企业,武汉元光科技有限公司,430000 湖北省武汉市东湖开发区光谷新发展国际中心5楼,CHN,.,G06F16/29(2019.01),G06F16/29(2019.01);G06Q10/04(2012.01);G06Q50/30(2012.01);G08G1/00(2006.01),4.0,3911.0,计算机整机制造,研发与设计汽车销售汽车维修与服务,专用技术研发与设计汽车测试智能装置生产
CN108237374B,多叶片转轮曲面的三轴联动加工方法,发明授权,2016-12-27,2018-07-03,2019-12-17,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭一路3号,CHN,,B23P15/00(2006.01),B23P15/00(2006.01),1.0,3421.0,金属切削机床制造,研发与设计,制造工艺研发与设计
CN105402273B,一种电机驱动液压离合器及汽车,发明授权,2015-12-22,2016-03-16,2017-09-12,北京律谱知识产权代理事务所(普通合伙),授权,企业,武汉理工通宇新源动力有限公司,430223 湖北省武汉市东湖新技术开发区理工大科技园,CHN,,F16D29/00(2006.01),F16D29/00(2006.01),1.0,3459.0,其他传动部件制造,发动机制造电气设备生产,电动机生产传动系统生产
CN108696537B,IOS系统中长连接网络数据分发及处理方法和系统,发明授权,2018-07-09,2018-10-23,2020-10-16,武汉智权专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,.,H04L29/06(2006.01),H04L29/06(2006.01);H04L29/08(2006.01),2.0,3921.0,通信系统设备制造,研发与设计,专用技术研发与设计
CN108819887B,汽车前端吸能块,发明授权,2018-04-25,2018-11-16,2020-05-19,北京邦信阳专利商标代理有限公司,发明专利权授予,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道12号,CHN,.,B60R19/18(2006.01),B60R19/18(2006.01);B60R21/34(2011.01),2.0,3660.0,汽车零部件及配件制造,车身制造,汽车安全装置生产
CN104061256B,用于混合动力电动汽车自动离合器执行机构及其控制方法,发明授权,2014-06-17,2014-09-24,2016-08-24,湖北武汉永嘉专利代理有限公司,授权,企业,武汉理工通宇新源动力有限公司,430079 湖北省武汉市东湖新技术开发区大学园路理工大学科技园,CHN,,F16D43/284(2006.01),F16D43/284(2006.01),1.0,3459.0,其他传动部件制造,研发与设计整车组装辅助系统生产汽车底盘生产电气设备生产,专用技术研发与设计传动系统生产智能装置生产电控系统生产
CN104677575B,一种止水带水密试验方法,发明授权,2015-02-16,2015-06-03,2017-12-12,北京路浩知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,G01M3/28(2006.01),G01M3/28(2006.01),1.0,4015.0,试验机制造,研发与设计,汽车测试
CN106777036B,一种数据渲染方法及数据渲染系统,发明授权,2016-12-09,2017-05-31,2019-08-23,北京众达德权知识产权代理有限公司,授权,企业,武汉斗鱼网络科技有限公司,430000 湖北省武汉市东湖开发区软件园东路1号软件产业4.1期B1栋11楼,CHN,,G06F16/957(2019.01),G06F16/957(2019.01);G06F16/958(2019.01),2.0,3911.0,计算机整机制造,研发与设计,专用技术研发与设计
CN109488882B,一种带有丝网除沫器的气液混输增压装置及方法,发明授权,2016-10-08,2019-03-19,2020-04-21,北京天奇智新知识产权代理有限公司,发明专利权授予,企业,武汉齐达康能源装备有限公司,430000 湖北省武汉市新洲区阳逻开发区红岗村,CHN,.,F17D1/00(2006.01),F17D1/00(2006.01),1.0,4090.0,其他仪器仪表制造业,辅助系统生产,专用技术研发与设计智能装置生产
CN105480249B,基于承载鞍定位的脱轨检测装置及其检测方法,发明授权,2015-12-30,2016-04-13,2018-04-03,武汉开元知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61F9/00(2006.01),B61F9/00(2006.01);G01B11/02(2006.01),2.0,3711.0,铁路机车车辆及动车组制造,辅助系统生产,汽车安全装置生产
CN109915249B,汽车发动机冷却系统及其控制方法,发明授权,2019-03-27,2019-06-21,2020-07-14,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,F01P3/02(2006.01),F01P3/02(2006.01);F01P3/20(2006.01);F01P5/10(2006.01);F01P7/14(2006.01);F01P7/16(2006.01);F01M5/00(2006.01);F02M26/23(2016.01);F02B29/04(2006.01);F16H57/04(2010.01),9.0,3412.0,内燃机及配件制造,发动机制造辅助系统生产,冷却系统生产
CN106533791B,一种基于大数据平台的端到端业务质量优化装置及方法,发明授权,2016-12-12,2017-03-22,2019-10-25,武汉智权专利代理事务所(特殊普通合伙),授权,企业,武汉烽火信息集成技术有限公司,430073 湖北省武汉市洪山区邮科院路88号,CHN,,H04L12/24(2006.01),H04L12/24(2006.01);H04L29/08(2006.01),2.0,3921.0,通信系统设备制造,研发与设计,专用技术研发与设计
CN108466626B,一种底门装置及铁路漏斗车,发明授权,2018-05-31,2018-08-31,2020-05-05,北京众达德权知识产权代理有限公司,发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,B61D7/02(2006.01),B61D7/02(2006.01);B61D7/28(2006.01);B61D7/22(2006.01),3.0,3711.0,铁路机车车辆及动车组制造,整车组装,车门生产
CN107963085B,一种车辆、车辆控制方法及系统,发明授权,2017-11-21,2018-04-27,2019-12-24,北京众达德权知识产权代理有限公司,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61B13/10(2006.01),B61B13/10(2006.01);B61L23/00(2006.01),2.0,3719.0,其他铁路运输设备制造,研发与设计整车组装辅助系统生产电气设备生产,专用技术研发与设计智能装置生产电控系统生产
CN104990480B,机罩功能面厚度快速检测工装及其检测方法,发明授权,2015-06-29,2015-10-21,2018-03-27,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,.,G01B5/06(2006.01),G01B5/06(2006.01);G01B5/14(2006.01),2.0,4090.0,其他仪器仪表制造业,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN108847497B,一种车用燃料电池热管理系统,发明授权,2018-05-28,2018-11-20,2020-09-11,武汉知产时代知识产权代理有限公司,发明专利权授予,企业,湖北雷迪特冷却系统股份有限公司,430119 湖北省武汉市武汉经济技术开发区军山街凤凰工业园凤亭南路2号,CHN,.,H01M8/04007(2016.01),H01M8/04007(2016.01);H01M8/04029(2016.01);H01M8/04223(2016.01);H01M8/04225(2016.01);H01M8/0432(2016.01);H01M8/04701(2016.01);B60L58/33(2019.01);B60L58/34(2019.01),8.0,3463.0,气体、液体分离及纯净设备制造,辅助系统生产,健康环保装置生产
CN106288715B,一种汽车零部件生产所需烘箱,发明授权,2016-08-31,2017-01-04,2019-04-09,上海精晟知识产权代理有限公司,授权,企业,湖北吉兴汽车部件有限公司,430000 湖北省武汉市武汉经济开发区3W1地块（全力北路169号）,CHN,,F26B15/12(2006.01),F26B15/12(2006.01);F26B25/02(2006.01);F26B3/347(2006.01);F26B25/08(2006.01),4.0,3490.0,其他通用设备制造业,辅助系统生产,模具生产
CN105458609B,一种双层结构铁路罐车的罐体套装工艺方法,发明授权,2015-12-28,2016-04-06,2017-05-10,武汉科皓知识产权代理事务所(特殊普通合伙),授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B23K37/053(2006.01),B23K37/053(2006.01);B23K101/12(2006.01),2.0,3424.0,金属切割及焊接设备制造,整车组装,制造工艺研发与设计
CN105066883B,一种快速测量回转体零件端面销孔位置度的方法,发明授权,2015-08-26,2015-11-18,2017-11-24,武汉开元知识产权代理有限公司,授权,企业,神龙汽车有限公司,430056 湖北省武汉市沌口武汉经济技术开发区技术服务中心,CHN,,G01B11/00(2006.01),G01B11/00(2006.01),1.0,4090.0,其他仪器仪表制造业,研发与设计,汽车测试
CN104259830B,一种高压电池装配设备,发明授权,2014-08-01,2015-01-07,2016-08-24,北京华沛德权律师事务所,授权,企业,湖北机电院装备制造有限责任公司,430200 湖北省武汉市江夏区大桥新区民营工业园内,CHN,,B23P19/04(2006.01),B23P19/04(2006.01),1.0,3422.0,金属成形机床制造,整车组装电气设备生产,整车组装蓄电池生产
CN106441253B,一种校准的方法和装置,发明授权,2016-10-28,2017-02-22,2018-12-04,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,.,G01C17/38(2006.01),G01C17/38(2006.01),1.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计汽车测试,制造工艺研发与设计汽车测试
CN109465725B,一种通过式钢管外壁除锈装置及其使用方法,发明授权,2018-12-11,2019-03-15,2020-07-10,南京纵横知识产权代理有限公司,发明专利权授予,企业,中建三局安装工程有限公司,430000 湖北省武汉市武昌区武珞路456号,CHN,.,B24B27/033(2006.01),B24B27/033(2006.01);B24B41/00(2006.01);B24B47/22(2006.01);B24B49/12(2006.01);B24B51/00(2006.01),5.0,3421.0,金属切削机床制造,制造工艺研发与设计,专用技术研发与设计
CN110700885B,基于毫米波雷达的隧道变形实时监测方法,发明授权,2019-09-06,2020-01-17,2020-12-11,北京远大卓悦知识产权代理有限公司,发明专利权授予,企业,中交第二航务工程局有限公司,430048 湖北省武汉市东西湖区金银湖路11号,CHN,.,E21F17/18(2006.01),E21F17/18(2006.01);G01S13/88(2006.01);G01B15/06(2006.01);F16M11/04(2006.01),4.0,4090.0,其他仪器仪表制造业,研发与设计,专用技术研发与设计
CN105235902B,旋翼机传动装置,发明授权,2013-12-17,2016-01-13,2017-07-11,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,430000 湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,B64C27/605(2006.01),B64C27/605(2006.01);B64C27/32(2006.01),2.0,3741.0,飞机制造,研发与设计整车组装,专用技术研发与设计传动系统生产
CN108214361B,汽车夹具用定位机构,发明授权,2018-04-08,2018-06-29,2019-08-13,北京远大卓悦知识产权代理事务所(普通合伙),授权,企业,武汉鸿博鑫科技有限公司,430090 湖北省武汉市汉南区纱帽街幸福工业园鸿联机械工业园3-6号车间栋1-1层夹层2层2室,CHN,,B25B11/00(2006.01),B25B11/00(2006.01),1.0,3322.0,手工具制造,研发与设计整车组装车身制造,制造工艺研发与设计模具生产
CN105372615B,一种抗干扰1000kV特高压电压互感器车载校验平台及其校验方法,发明授权,2015-12-08,2016-03-02,2018-04-03,南京纵横知识产权代理有限公司,授权,企业,武汉磐电科技股份有限公司,430058 湖北省武汉经济技术开发区沌口小区工业区11号地4号库房,CHN,.,G01R35/02(2006.01),G01R35/02(2006.01),1.0,4090.0,其他仪器仪表制造业,电气设备生产,测试
CN105763624B,客车空调一体化健康监测系统及监测方法,发明授权,2016-04-08,2016-07-13,2018-10-23,武汉开元知识产权代理有限公司,授权,企业,武汉松芝车用空调有限公司,430200 湖北省武汉市江夏区大桥新区大花岭工业园办公楼4楼,CHN,.,H04L29/08(2006.01),H04L29/08(2006.01);B60H1/00(2006.01);G06Q30/00(2012.01),3.0,3921.0,通信系统设备制造,辅助系统生产,健康环保装置生产
CN106196686B,整体式斯特林制冷机,发明授权,2016-06-29,2016-12-07,2019-02-15,北京汇泽知识产权代理有限公司,授权,企业,武汉高德红外股份有限公司,430205 湖北省武汉市东湖开发区黄龙山南路6号,CHN,,F25B9/14(2006.01),F25B9/14(2006.01),1.0,3464.0,制冷、空调设备制造,发动机制造,其他用电装置生产
CN104832281B,优化的节能内燃机,发明授权,2015-01-08,2015-08-12,2017-08-08,,授权,企业,武汉富国发动机科技有限公司,430000 湖北省武汉市东湖新技术开发区高新二路41号谷方5栋5层C9室,CHN,,F02B75/32(2006.01),F02B75/32(2006.01),1.0,3412.0,内燃机及配件制造,发动机制造,制造工艺研发与设计发动机配件生产
CN106181853B,卡紧环自动夹紧装置,发明授权,2015-04-29,2016-12-07,2018-06-26,上海光华专利事务所(普通合伙),授权,企业,武汉联航机电有限公司,430090 湖北省武汉市汉南区幸福工业园幸福园路22号,CHN,.,B25B27/02(2006.01),B25B27/02(2006.01),1.0,3322.0,手工具制造,整车组装,智能装置生产
CN108944882B,一种无人驾驶车辆电控液压制动系统及其控制方法,发明授权,2018-06-15,2018-12-07,2020-05-08,武汉市首臻知识产权代理有限公司,发明专利权授予,企业,湖北三环智能科技有限公司,430000 湖北省武汉市武汉东湖新技术开发区佳园路33号,CHN,.,B60T13/68(2006.01),B60T13/68(2006.01);B60T7/12(2006.01);B60R21/013(2006.01);B60T17/22(2006.01),4.0,3660.0,汽车零部件及配件制造,辅助系统生产电气设备生产,智能装置生产制动系统生产电控系统生产
CN104236940B,一种模拟箱梁在斜拉索支撑状态的方法,发明授权,2014-08-20,2014-12-24,2017-02-01,武汉开元知识产权代理有限公司,授权,企业,中交第二航务工程局有限公司,430040 湖北省武汉市东西湖区金银湖路11号,CHN,,G01M99/00(2011.01),G01M99/00(2011.01),1.0,4015.0,试验机制造,研发与设计,制造工艺研发与设计
CN109648519B,一种型材内置螺母的安装设备及安装方法,发明授权,2019-01-24,2019-04-19,2020-09-08,武汉知产时代知识产权代理有限公司,发明专利权授予,企业,武汉地质资源环境工业技术研究院有限公司,430000 湖北省武汉市东湖高新技术开发区高新大道999号,CHN,.,B25B27/14(2006.01),B25B27/14(2006.01),1.0,3322.0,手工具制造,研发与设计车身制造,制造工艺研发与设计模具生产
CN104526271B,一种腰型深孔加工方法及制备得到的注浆块,发明授权,2014-12-01,2015-04-22,2017-09-29,湖北武汉永嘉专利代理有限公司,授权,企业,中铁科工集团轨道交通装备有限公司,430223 湖北省武汉市江夏区庙山经济开发区幸福工业园,CHN,,B23P15/00(2006.01),B23P15/00(2006.01),1.0,3421.0,金属切削机床制造,研发与设计整车组装,制造工艺研发与设计模具生产
CN105178858B,一种用于双管高压旋喷工艺的钻具,发明授权,2015-10-10,2015-12-23,2018-03-27,湖北武汉永嘉专利代理有限公司,授权,企业,中铁科工集团轨道交通装备有限公司,430223 湖北省武汉市江夏区庙山经济开发区幸福工业园,CHN,.,E21B7/18(2006.01),E21B7/18(2006.01);E02D5/46(2006.01),2.0,3511.0,矿山机械制造,研发与设计,专用技术研发与设计
CN105302113B,一种可配置化及可扩展的汽车诊断系统及诊断方法,发明授权,2015-10-28,2016-02-03,2017-11-21,,授权,企业,武汉锐科控制系统有限公司,430000 湖北省武汉市经济技术开发区创业路16号华源商务广场B座8309室,CHN,,G05B23/02(2006.01),G05B23/02(2006.01),1.0,4011.0,工业自动控制系统装置制造,汽车维修与服务,汽车检测与服务
CN104132699B,一种激光扫描式散状物料流量检测及分布误差消除方法,发明授权,2014-07-24,2014-11-05,2017-08-25,武汉宇晨专利事务所,授权,企业,武汉中原电子集团有限公司,430074 湖北省武汉市武汉关东科技工业园2号中原电子大厦,CHN,,G01F1/74(2006.01),G01F1/74(2006.01);G01F25/00(2006.01),2.0,4014.0,实验分析仪器制造,汽车测试,汽车检测与服务
CN105506232B,一种调整钢硬度的激光复合处理工艺,发明授权,2015-12-10,2016-04-20,2018-07-31,北京汇泽知识产权代理有限公司,授权,企业,武汉华工激光工程有限责任公司,430223 湖北省武汉市东湖开发区华中科技大学科技园激光产业园,CHN,.,C21D1/09(2006.01),C21D1/09(2006.01);C21D6/00(2006.01),2.0,3360.0,金属表面处理及热处理加工,研发与设计,制造工艺研发与设计
CN104438942B,一种利用四芯卷圆机的大锥度罐体卷圆成形工艺,发明授权,2014-12-29,2015-03-25,2017-12-15,武汉科皓知识产权代理事务所(特殊普通合伙),专利申请权、专利权的转移,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B21D51/10(2006.01),B21D51/10(2006.01);B21D5/14(2006.01),2.0,3311.0,金属结构制造,研发与设计车身制造,制造工艺研发与设计车身壳体生产
CN106986111B,油箱内置的保温集装箱,发明授权,2017-05-08,2017-07-28,2020-08-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,.,F24F7/04(2006.01),F24F7/04(2006.01);B65D88/74(2006.01),2.0,3462,风机、风扇制造,辅助系统生产,健康环保装置生产
CN107310533B,一种工程车辆的冲洗系统及方法,发明授权,2017-07-28,2017-11-03,2019-07-19,北京路浩知识产权代理有限公司,专利权人的姓名或者名称、地址的变更,企业,武汉依迅北斗空间技术有限公司,430040 湖北省武汉市东湖新技术开发区武大科技园以南、万科城市花园西侧国家地球空间信息产业基地Ⅱ区（6期）A-1幢2层3号,CHN,,B60S3/04(2006.01),B60S3/04(2006.01),1.0,3599.0,其他专用设备制造,辅助系统生产,汽车安保系统生产
CN109413020B,一种防火墙的策略配置方法和装置,发明授权,2018-04-28,2019-03-01,2020-07-31,北京弘权知识产权代理事务所(普通合伙),发明专利权授予,企业,武汉思普崚技术有限公司,430070 湖北省武汉市东湖新技术开发区光谷大道77号金融港后台服务中心一期A4栋2层01号,CHN,.,H04L29/06(2006.01),H04L29/06(2006.01),1.0,3921.0,通信系统设备制造,研发与设计电气设备生产,专用技术研发与设计电控系统生产
CN106542141B,一种汽车轮辋自动贴膜机,发明授权,2016-10-24,2017-03-29,2018-09-25,广州三环专利商标代理有限公司,授权,企业,东风汽车有限公司,510800 广东省广州市花都区风神大道8号,CHN,.,B65B33/02(2006.01),B65B33/02(2006.01),1.0,3468,包装专用设备制造,整车组装,智能装置生产
CN108469263B,一种基于曲率进行形点优化的方法及系统,发明授权,2018-03-07,2018-08-31,2020-07-24,武汉蓝宝石专利代理事务所(特殊普通合伙),发明专利权授予,企业,武汉中海庭数据技术有限公司,430000 湖北省武汉市硚口区古田一路28号新工厂产业园7号A楼,CHN,.,G01C21/32(2006.01),G01C21/32(2006.01);G01C21/34(2006.01),2.0,4023.0,导航、气象及海洋专用仪器制造,研发与设计,制造工艺研发与设计
CN106314180B,电动车辆反向充电弓在线充电装置的定位系统及调整方法,发明授权,2016-09-08,2017-01-11,2019-05-10,武汉开元知识产权代理有限公司,授权,企业,武汉杜曼智能科技有限公司,430223 湖北省武汉市东湖开发区汤逊湖北路33号华工科技园.创新基地17栋1-4号房,CHN,,B60L53/14(2019.01),B60L53/14(2019.01);B60L53/35(2019.01),2.0,3640.0,电车制造,电气设备生产,智能装置生产
CN104875757B,一种底门间隙调整机构及漏斗车,发明授权,2015-06-11,2015-09-02,2017-10-03,北京华沛德权律师事务所,授权,企业,中车长江车辆有限公司,430212 湖北省武汉市江夏经济开发区大桥新区,CHN,,B61D7/28(2006.01),B61D7/28(2006.01),1.0,3711.0,铁路机车车辆及动车组制造,整车组装,车门生产
CN106903542B,一种主轴静压导轨断电保护方法,发明授权,2015-12-22,2017-06-30,2018-11-27,,授权,企业,武汉重型机床集团有限公司,430205 湖北省武汉市东湖新技术开发区佛祖岭一路3号,CHN,.,B23Q5/58(2006.01),B23Q5/58(2006.01),1.0,3425.0,机床附件制造,研发与设计,专用技术研发与设计
CN105253312B,具有动平衡系统的柔性排气通道,发明授权,2015-09-28,2016-01-20,2017-08-25,北京华沛德权律师事务所,授权,企业,易瓦特科技股份公司,湖北省武汉市江岸区后湖街石桥一路5号4栋1层,CHN,,B64D33/04(2006.01),B64D33/04(2006.01);F01D25/30(2006.01),2.0,3741.0,飞机制造,辅助系统生产,汽车安保系统生产
CN103475295B,一种基于无功功率的感应电机转子磁场相位在线校正方法,发明授权,2013-08-26,2013-12-25,2015-07-29,华中科技大学专利中心,专利权的终止,企业,武汉华中数控股份有限公司,430223 湖北省武汉市东湖开发区华工科技园,CHN,,H02P21/14(2006.01)I,H02P21/14(2006.01)I,1.0,3811.0,发电机及发电机组制造,研发与设计电气设备生产,专用技术研发与设计电动机生产
CN110266156B,一种电机转子铁芯自动预折弯装置及折弯方法,发明授权,2019-07-01,2019-09-20,2020-07-21,武汉宇晨专利事务所,发明专利权授予,企业,东风博泽汽车系统有限公司,430056 湖北省武汉市经济技术开发区枫树北路109号,CHN,.,H02K15/03(2006.01),H02K15/03(2006.01),1.0,3561.0,电工机械专用设备制造,电气设备生产,电动机生产
CN109515336B,一种汽车试验数据采集设备的固定装置及其固定系统,发明授权,2018-11-28,2019-03-26,2020-04-07,武汉开元知识产权代理有限公司,发明专利权授予,企业,东风汽车集团有限公司,430056 湖北省武汉市武汉经济技术开发区东风大道特1号,CHN,.,B60R11/00(2006.01),B60R11/00(2006.01),1.0,3660.0,汽车零部件及配件制造,研发与设计汽车测试,汽车测试
